npa,nxx,phone_number,company,address1,city,state,postal_code,market,email,vendor_lead_code
407,656,4076563396,Sanders Roofing & Sheet Metal,150 Taylor St,Ocoee,FL,34761,OCOEE,,RR-177
407,656,4076563169,Sisson Roofing of Central FL,306 Ocoee Apopka Rd Ste 5,Ocoee,FL,34761,OCOEE,,RR-179
407,657,4076577600,Perry Roofing Contractors Inc,7601 Citrus Ave,Winter Park,FL,32792,WINTER PARK,,RR-084
407,660,4076602212,Tip Top Roofing Company,660 W Kennedy Blvd,Orlando,FL,32810,,,RR-017
407,671,4076716166,D'anna Building & Roofing Inc,2463 Brookshire Ave,Winter Park,FL,32792,WINTER PARK,,RR-088
407,671,4076717604,Southern States Roofing of Central FL,7601 Citrus Ave,Winter Park,FL,32792,WINTER PARK,,RR-085
407,671,4076712666,Winter Park Roofing Inc,3500 Aloma Ave Ste W-1,Winter Park,FL,32792,WINTER PARK,,RR-076
407,672,4076720001,David Lundberg Building & Roofing,1709 Howell Branch Rd,Winter Park,FL,32789,WINTER PARK,,RR-089
407,678,4076789721,Advantage Roofing Inc,6903 Partridge Ln,Orlando,FL,32807,,,RR-018
407,679,4076792070,Fleming Brothers Roofing Co Inc,7601 Citrus Ave,Winter Park,FL,32792,WINTER PARK,,RR-053
407,679,4076794552,Martin Roofing Services Inc,2720 Forsyth Rd,Winter Park,FL,32792,WINTER PARK,,RR-082
407,679,4076797663,Weather All Roofing Inc,1421 Border Dr,Winter Park,FL,32789,WINTER PARK,,RR-087
407,692,4076926576,D&E Roofing,821 N Main St,Kissimmee,FL,34744,KISSIMMEE,,RR-099
407,702,4077020206,Proformance Roofing,1795 E Highway 50,Clermont,FL,34711,CLERMONT,,RR-139
407,704,4077042191,Sisson Roofing of Central FL (line 2),666 California Ave,Ocoee,FL,34761,OCOEE,,RR-180
407,707,4077078271,Alan's Roofing Inc,145 E Sandpiper St,Apopka,FL,32712,,,RR-049
407,710,4077101250,Roofing Brothers of Florida,988 Westwood Sq,Oviedo,FL,32765,OVIEDO,,RR-224
407,717,4077173104,Vortex Roofing & Construction,216 S Holly Ave,Sanford,FL,32771,SANFORD,,RR-161
407,732,4077326563,Next GRC Roofing,115 Commerce St,Lake Mary,FL,32746,LAKE MARY,,RR-200
407,743,4077434583,Professional Choice Roofing,250 International Pkwy Ste 128,Lake Mary,FL,32746,LAKE MARY,,RR-198
407,743,4077434667,TMCG Roofing Corp,1221 Arden Oaks Dr,Ocoee,FL,34761,OCOEE,,RR-183
407,749,4077490808,Schick Roofing,,Orlando,FL,32819,PRIORITY Bay Hill/Dr Phillips,,RR-005
407,754,4077544552,Century Roofing Specialist (line 2),,Winter Garden,FL,34787,WINTER GARDEN,,RR-113
407,759,4077594848,Best Choice Roofing,22 W Monument Ave,Kissimmee,FL,34741,KISSIMMEE,,RR-097
407,761,4077613074,Duffield Roofing,2016 Dutchess Ln,Winter Park,FL,32792,WINTER PARK,,RR-086
407,767,4077674256,Weatherproof Inc,151 S New York Ave,Winter Park,FL,32789,WINTER PARK,,RR-069
407,774,4077740940,Johnson Roofing Orlando,405 Ruth St,Longwood,FL,32779,,,RR-047
407,783,4077838207,Level Roofing,1401 Beulah Rd Ste 120,Winter Garden,FL,34787,WINTER GARDEN,,RR-119
407,790,4077907001,Prolevel Roofing,99 N Central Ave,Oviedo,FL,32765,OVIEDO,,RR-220
407,797,4077970134,Cirilos Roofing Inc,243 W Main St,Apopka,FL,32703,APOPKA,,RR-170
407,830,4078308554,Mid Florida Roofing Inc,275 Evansdale Rd,Lake Mary,FL,32746,LAKE MARY,,RR-185
407,841,4078416471,Tom Tanenbaum Inc,425 Fairvilla Rd,Orlando,FL,32808,,,RR-032
407,843,4078432665,Cut Rite Roofing Inc,,Winter Garden,FL,34787,WINTER GARDEN,,RR-118
407,845,4078459779,Legion Roofing & Construction,830 N John Young Pkwy Ste 860,Kissimmee,FL,34741,KISSIMMEE,,RR-101
407,851,4078510680,Gold Key Roofing,4874 S Orange Ave,Orlando,FL,32806,,,RR-011
407,856,4078569027,RBS Construction and Roofing (South),,Orlando,FL,32837,WINTER GARDEN svc,,RR-111
407,857,4078570098,Edgar Quintin Roofing,1341 W Church St,Orlando,FL,32805,WINTER GARDEN svc,,RR-122
407,857,4078579392,Hartford South Incorporated,7326 S Orange Ave,Orlando,FL,32809,,,RR-020
407,859,4078598163,RBS Construction Roofing,5205 S Orange Ave Ste 102,Orlando,FL,32809,Alt DID 6893049605,,RR-009
407,865,4078659510,All Construction Solutions Svcs,510 Douglas Ave Ste 1019,Altamonte Springs,FL,32714,,,RR-033
407,878,4078783750,Brian Sikes Roofing,1550 N US Highway 17-92,Lake Mary,FL,32746,LAKE MARY,,RR-193
407,878,4078781113,Smart Roofing,1221 W 7th St,Sanford,FL,32771,SANFORD,,RR-159
407,878,4078787320,Sra Roofing,105 Tralee Ct,Lake Mary,FL,32746,LAKE MARY,,RR-196
407,878,4078782225,Zee's Roofing and Construction,4500 Orange Blvd,Sanford,FL,32771,SANFORD,,RR-156
407,883,4078833144,Florida Roof Advisors,1800 Pembrook Dr,Orlando,FL,32819,Near 32836,,RR-008
407,884,4078849777,F W Walton Inc,777 S Park Ave,Apopka,FL,32703,APOPKA,,RR-173
407,884,4078847663,Rizzo Roofing,2714 Cloudcroft Dr,Apopka,FL,32703,WINTER GARDEN svc,,RR-115
407,890,4078907523,JT Roofing Company Oviedo,543 Fern St,Oviedo,FL,32765,OVIEDO,,RR-228
407,891,4078910578,Pohlman Romar Roofing,3770 Cedar Hammock Trl,Saint Cloud,FL,34772,ST CLOUD,,RR-219
407,891,4078917717,Rick Lundberg Roofing,1111 Florida Ave,Saint Cloud,FL,34769,ST CLOUD,,RR-213
407,891,4078917080,Steve Turbeville Roofing,111 E 17th St,Saint Cloud,FL,34769,ST CLOUD,,RR-207
407,900,4079000840,Sustainable Roof Systems,1250 Commons Ct,Clermont,FL,34711,CLERMONT,,RR-138
407,901,4079017380,Timothy Parks Roofing & Construction Inc,614 E Highway 50,Clermont,FL,34711,CLERMONT,,RR-137
407,917,4079174049,Hogan Roofing 407RoofRepair,,Orlando,FL,32836,PRIORITY Dr Phillips,,RR-004
407,924,4079242996,Walker Services,712 Savage Ct,Longwood,FL,32750,,,RR-034
407,930,4079306079,Baker Roofing Company,7033 Stapoint Ct,Winter Park,FL,32792,WINTER PARK,,RR-081
407,930,4079304262,SDPS Inc Roofing & Water Damage,,Orlando,FL,32804,,,RR-031
407,930,4079307663,Stanley's Roofing Inc,2605 Clark St,Apopka,FL,32703,APOPKA,,RR-169
407,949,4079499196,Parlament Roofing & Construction,364 Cooper Palms Pkwy,Apopka,FL,32703,APOPKA,,RR-172
407,951,4079516050,Island Environment,669 Harold Ave,Winter Park,FL,32789,WINTER PARK,,RR-078
407,955,4079555763,Mighty Dog Roofing of Greater NE Orlando,182 S Central Ave,Oviedo,FL,32765,OVIEDO,,RR-221
407,968,4079687738,Central Florida Roofing Group,304 Sprucewood,Lake Mary,FL,32746,LAKE MARY,,RR-201
407,992,4079928807,Winter Garden Roof Repair,13440 W Colonial Dr 21a,Winter Garden,FL,34787,WINTER GARDEN,,RR-120
561,202,5612024954,Master Gutters Inc,1454 Ryan Ln,Royal Palm Beach,FL,33411,WEST PALM BEACH,,RR-292
561,213,5612130756,Royal Palm Roofing,1684 NW Madrid Way,Boca Raton,FL,33432,BOCA RATON,,RR-329
561,225,5612252566,American Roofing Contractors,114 SE Coast St,Lake Worth,FL,33460,WEST PALM BEACH,,RR-289
561,301,5613019753,A A Advanced Roof Restoration,,West Palm Beach,FL,33407,WEST PALM BEACH,,RR-297
561,325,5613257158,Mint Roofing Ltd,1609 NW 2nd Ave,Boca Raton,FL,33432,BOCA RATON,,RR-324
561,335,5613357652,Bravos Roofing Inc,2269 Indian Rd,West Palm Beach,FL,33409,WEST PALM BEACH,,RR-296
561,367,5613678997,Advantage Building & Roofing Corp,1495 Addison Ave,Boca Raton,FL,33486,BOCA RATON,,RR-327
